CountyName,2021,2022,2023
".Saguache County, Colorado",6393,6505,6623
".San Juan County, Colorado",710,740,803
".San Miguel County, Colorado",8054,8074,8003
".Sedgwick County, Colorado",2390,2331,2295
".Summit County, Colorado",30994,30971,30565
".Teller County, Colorado",24747,24939,24857
".Washington County, Colorado",4808,4850,4812
".Weld County, Colorado",331427,339811,350176
".Yuma County, Colorado",9979,9943,9899
".Capitol Planning Region, Connecticut",973159,980757,981447
".Greater Bridgeport Planning Region, Connecticut",324932,327229,327286
".Lower Connecticut River Valley Planning Region, Connecticut",173927,176095,176622
".Naugatuck Valley Planning Region, Connecticut",449896,452894,454083
".Northeastern Connecticut Planning Region, Connecticut",95274,95708,96196
".Northwest Hills Planning Region, Connecticut",112269,112974,113234
".South Central Connecticut Planning Region, Connecticut",569237,573562,573244
".Southeastern Connecticut Planning Region, Connecticut",279522,280117,280403
".Western Connecticut Planning Region, Connecticut",619146,624019,623690
".Kent County, Delaware",182362,184371,186946
".New Castle County, Delaware",570873,572714,575494
".Sussex County, Delaware",238879,247722,255956
".District of Columbia, District of Columbia",670868,668791,671803
".Alachua County, Florida",279742,281817,284030
".Baker County, Florida",28115,28673,27803
".Bay County, Florida",174506,179498,185134
".Bradford County, Florida",28224,28050,27313
".Brevard County, Florida",608713,617742,630693
".Broward County, Florida",1943266,1935729,1947026
".Calhoun County, Florida",13703,13514,13464
".Charlotte County, Florida",188013,194934,202661
".Citrus County, Florida",154565,158113,162529
".Clay County, Florida",218933,222533,226589
".Collier County, Florida",377293,387241,397994
".Columbia County, Florida",69737,69902,71908
".DeSoto County, Florida",34087,34340,35312
".Dixie County, Florida",16690,16905,17124
".Duval County, Florida",997604,1002252,1016536
".Escambia County, Florida",322551,323480,324878
".Flagler County, Florida",116030,120904,126705
".Franklin County, Florida",12463,12175,12498
".Gadsden County, Florida",43402,43554,43403
".Gilchrist County, Florida",17883,18306,18992
".Glades County, Florida",12068,12268,12454
".Gulf County, Florida",14264,14452,15314
".Hamilton County, Florida",13733,13082,13217
".Hardee County, Florida",25331,25307,25645
".Hendry County, Florida",39725,40212,41339
".Hernando County, Florida",195627,200649,206896
".Highlands County, Florida",101345,103295,105618
".Hillsborough County, Florida",1466160,1484455,1513301
".Holmes County, Florida",19569,19295,19651
".Indian River County, Florida",160439,163814,167352
".Jackson County, Florida",47079,47154,48211
".Jefferson County, Florida",14390,14476,15042
".Lafayette County, Florida",8214,7958,7786
".Lake County, Florida",386194,396242,410139
".Lee County, Florida",765504,790676,822453
".Leon County, Florida",293948,296081,297369
".Levy County, Florida",43059,44158,45260
".Liberty County, Florida",7805,7308,7603
".Madison County, Florida",17866,18069,18198
".Manatee County, Florida",401593,413474,429125
".Marion County, Florida",377459,385084,396415
".Martin County, Florida",158658,160249,162006
".Miami-Dade County, Florida",2695501,2670421,2673837
".Monroe County, Florida",82852,82265,81708
".Nassau County, Florida",91027,94393,97899
".Okaloosa County, Florida",212071,213647,216482
".Okeechobee County, Florida",39642,40044,40412
".Orange County, Florida",1431573,1427928,1452726
".Osceola County, Florida",391118,404020,422545
".Palm Beach County, Florida",1494173,1503223,1518477
".Pasco County, Florida",566126,584927,608794
".Pinellas County, Florida",959465,959046,961739
".Polk County, Florida",730111,755179,787404
".Putnam County, Florida",73376,74059,74731
".St. Johns County, Florida",277085,293175,306841
".St. Lucie County, Florida",331428,344283,358704
".Santa Rosa County, Florida",188989,193783,198268
".Sarasota County, Florida",436207,448550,462286
".Seminole County, Florida",471428,471009,478772
".Sumter County, Florida",130298,134867,144970
".Suwannee County, Florida",43517,44092,45411
".Taylor County, Florida",21739,20786,21283
".Union County, Florida",15417,15825,15460
".Volusia County, Florida",555764,565988,579192
".Wakulla County, Florida",33895,34274,35178
".Walton County, Florida",75937,79988,83304
".Washington County, Florida",25313,24877,25414
".Appling County, Georgia",18366,18411,18428
".Atkinson County, Georgia",8311,8358,8183
".Bacon County, Georgia",11108,11071,11191
".Baker County, Georgia",2851,2827,2788
".Baldwin County, Georgia",43794,43671,43635
".Banks County, Georgia",18082,18538,19328
".Barrow County, Georgia",83975,86672,89299
".Bartow County, Georgia",109296,110901,112816
".Ben Hill County, Georgia",17168,17152,17069
".Berrien County, Georgia",18148,18128,18214
".Bibb County, Georgia",157025,155985,156197
".Bleckley County, Georgia",12524,12255,12257
".Brantley County, Georgia",18043,18121,18183
".Brooks County, Georgia",16268,16285,16253
".Bryan County, Georgia",45035,46963,48225
".Bulloch County, Georgia",79918,80637,83059
".Burke County, Georgia",24633,24333,24388
".Butts County, Georgia",25551,26114,26649
".Calhoun County, Georgia",5573,5534,5469
".Camden County, Georgia",54925,55754,57013
".Candler County, Georgia",11022,11000,11000
".Carroll County, Georgia",119484,121592,124592
".Catoosa County, Georgia",68006,68420,68826
".Charlton County, Georgia",12532,12813,12781
".Chatham County, Georgia",295064,295656,301107
".Chattahoochee County, Georgia",9481,9044,8819
".Chattooga County, Georgia",24922,24828,24936
".Cherokee County, Georgia",268175,274839,281278
".Clarke County, Georgia",128550,129185,129875
".Clay County, Georgia",2830,2859,2845
".Clayton County, Georgia",297623,297318,296564
".Clinch County, Georgia",6725,6698,6662
".Cobb County, Georgia",766374,766691,771952
".Coffee County, Georgia",43052,42997,43172
".Colquitt County, Georgia",45900,45757,45762
".Columbia County, Georgia",156849,159636,162419
".Cook County, Georgia",17234,17266,17404
".Coweta County, Georgia",146725,149925,152882
".Crawford County, Georgia",12103,12139,12140
".Crisp County, Georgia",20050,20024,19708
".Dade County, Georgia",16235,16230,16081
".Dawson County, Georgia",27056,28475,30138
".Decatur County, Georgia",29324,29045,28982
".DeKalb County, Georgia",764420,759231,762820
".Dodge County, Georgia",19874,19675,19802
".Dooly County, Georgia",11165,10881,10572
".Dougherty County, Georgia",85153,82267,82966
".Douglas County, Georgia",144552,145628,147316
".Early County, Georgia",10799,10651,10574
".Echols County, Georgia",3720,3708,3686
".Effingham County, Georgia",65158,66746,69041
".Elbert County, Georgia",19667,19554,19814
".Emanuel County, Georgia",22887,22887,22929
".Evans County, Georgia",10790,10711,10695
".Fannin County, Georgia",25434,25763,25737
".Fayette County, Georgia",119483,120681,122030
".Floyd County, Georgia",98575,98499,99443
